time;;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20180219:1710;;0.0;0.0;0.0;0.0;4.5;1.45;0.0
20180219:1810;;0.0;0.0;0.0;0.0;3.0;1.79;0.0
20180219:1910;;0.0;0.0;0.0;0.0;1.77;1.52;0.0
20180219:2010;;0.0;0.0;0.0;0.0;0.78;1.52;0.0
20180219:2110;;0.0;0.0;0.0;0.0;-0.03;1.52;0.0
20180219:2210;;0.0;0.0;0.0;0.0;-1.03;1.45;0.0
20180219:2310;;0.0;0.0;0.0;0.0;-1.96;1.38;0.0
20180220:0010;;0.0;0.0;0.0;0.0;-2.25;1.24;0.0
20180220:0110;;0.0;0.0;0.0;0.0;-2.39;1.1;0.0
20180220:0210;;0.0;0.0;0.0;0.0;-2.75;1.17;0.0
20180220:0310;;0.0;0.0;0.0;0.0;-3.18;1.31;0.0
20180220:0410;;0.0;0.0;0.0;0.0;-3.33;1.38;0.0
20180220:0510;;0.0;0.0;0.0;0.0;-3.24;1.24;0.0
20180220:0610;;0.0;0.0;0.0;0.0;-3.66;1.38;0.0
20180220:0710;;0.0;8.0;0.0;3.52;-2.54;1.1;0.0
20180220:0810;;41.0;88.0;0.0;11.82;-1.44;0.97;0.0
20180220:0910;;175.01;108.0;0.0;18.92;1.13;1.1;0.0
20180220:1010;;71.0;201.0;0.0;24.3;2.73;1.17;0.0
20180220:1110;;6.0;184.0;0.0;27.44;3.77;1.24;0.0
20180220:1210;;0.0;142.0;0.0;27.95;4.55;1.52;0.0
20180220:1310;;95.0;211.0;0.0;25.75;5.03;1.79;0.0
20180220:1410;;59.0;173.0;0.0;21.14;5.19;2.07;0.0
20180220:1510;;29.0;113.0;0.0;14.61;5.06;2.48;0.0
20180220:1610;;23.0;43.0;0.0;6.7;4.62;2.34;0.0
20180220:1710;;0.0;0.0;0.0;0.0;3.42;2.28;0.0
20180220:1810;;0.0;0.0;0.0;0.0;2.56;2.48;0.0
20180220:1910;;0.0;0.0;0.0;0.0;1.52;2.55;0.0
20180220:2010;;0.0;0.0;0.0;0.0;0.83;2.69;0.0
20180220:2110;;0.0;0.0;0.0;0.0;0.19;2.69;0.0
20180220:2210;;0.0;0.0;0.0;0.0;-0.51;2.55;0.0
20180220:2310;;0.0;0.0;0.0;0.0;-1.0;2.55;0.0
20180221:0010;;0.0;0.0;0.0;0.0;-1.47;2.55;0.0
20180221:0110;;0.0;0.0;0.0;0.0;-1.72;2.48;0.0
20180221:0210;;0.0;0.0;0.0;0.0;-1.81;2.34;0.0
20180221:0310;;0.0;0.0;0.0;0.0;-1.75;2.28;0.0
20180221:0410;;0.0;0.0;0.0;0.0;-1.95;2.34;0.0
20180221:0510;;0.0;0.0;0.0;0.0;-1.89;2.41;0.0
20180221:0610;;0.0;0.0;0.0;0.0;-1.77;2.41;0.0
20180221:0710;;2.0;18.59;0.0;3.82;-2.56;2.28;0.0
20180221:0810;;121.01;58.0;0.0;12.13;-1.72;2.0;0.0
20180221:0910;;254.01;67.0;0.0;19.25;0.01;2.55;0.0
20180221:1010;;365.01;65.0;0.0;24.65;1.42;2.9;0.0
20180221:1110;;432.01;62.0;0.0;27.8;2.57;3.31;0.0
20180221:1210;;419.01;77.0;0.0;28.3;3.48;3.72;0.0
20180221:1310;;371.01;80.0;0.0;26.1;3.74;3.59;0.0
20180221:1410;;288.01;74.0;0.0;21.47;3.74;3.59;0.0
20180221:1510;;172.01;62.0;0.0;14.91;3.48;3.59;0.0
20180221:1610;;54.0;34.0;0.0;6.98;2.7;2.97;0.0
20180221:1710;;0.0;0.0;0.0;0.0;1.18;2.83;0.0
20180221:1810;;0.0;0.0;0.0;0.0;0.06;2.9;0.0
20180221:1910;;0.0;0.0;0.0;0.0;-0.36;2.97;0.0
20180221:2010;;0.0;0.0;0.0;0.0;-0.85;3.03;0.0
20180221:2110;;0.0;0.0;0.0;0.0;-1.21;3.1;0.0
20180221:2210;;0.0;0.0;0.0;0.0;-1.49;3.17;0.0
20180221:2310;;0.0;0.0;0.0;0.0;-1.75;3.17;0.0
20180222:0010;;0.0;0.0;0.0;0.0;-1.98;3.17;0.0
20180222:0110;;0.0;0.0;0.0;0.0;-2.21;3.1;0.0
20180222:0210;;0.0;0.0;0.0;0.0;-2.38;3.17;0.0
20180222:0310;;0.0;0.0;0.0;0.0;-2.51;3.17;0.0
20180222:0410;;0.0;0.0;0.0;0.0;-2.61;3.31;0.0
20180222:0510;;0.0;0.0;0.0;0.0;-2.65;3.38;0.0
20180222:0610;;0.0;0.0;0.0;0.0;-2.68;3.45;0.0
20180222:0710;;4.0;21.12;0.0;4.13;-2.53;3.59;0.0
20180222:0810;;146.01;48.0;0.0;12.46;-1.65;3.31;0.0
20180222:0910;;268.01;64.0;0.0;19.59;-0.21;4.14;0.0
20180222:1010;;369.01;70.0;0.0;25.01;1.19;4.48;0.0
20180222:1110;;450.01;57.0;0.0;28.16;2.48;4.62;0.0
20180222:1210;;363.01;120.0;0.0;28.67;3.26;5.17;0.0
20180222:1310;;348.01;102.0;0.0;26.44;3.73;6.07;0.0
20180222:1410;;304.01;69.0;0.0;21.79;3.65;5.86;0.0
20180222:1510;;183.01;60.0;0.0;15.22;3.38;5.31;0.0
20180222:1610;;62.0;34.0;0.0;7.26;2.62;4.41;0.0
20180222:1710;;0.0;0.0;0.0;0.0;1.25;4.21;0.0
20180222:1810;;0.0;0.0;0.0;0.0;0.37;4.28;0.0
20180222:1910;;0.0;0.0;0.0;0.0;-0.24;4.48;0.0
20180222:2010;;0.0;0.0;0.0;0.0;-0.75;4.41;0.0
20180222:2110;;0.0;0.0;0.0;0.0;-1.17;4.21;0.0
20180222:2210;;0.0;0.0;0.0;0.0;-1.51;3.86;0.0
20180222:2310;;0.0;0.0;0.0;0.0;-1.8;3.59;0.0
20180223:0010;;0.0;0.0;0.0;0.0;-2.0;3.52;0.0
20180223:0110;;0.0;0.0;0.0;0.0;-2.18;3.45;0.0
20180223:0210;;0.0;0.0;0.0;0.0;-2.34;3.59;0.0
20180223:0310;;0.0;0.0;0.0;0.0;-2.48;3.72;0.0
20180223:0410;;0.0;0.0;0.0;0.0;-2.61;3.86;0.0
20180223:0510;;0.0;0.0;0.0;0.0;-2.74;3.93;0.0
20180223:0610;;0.0;0.0;0.0;0.0;-2.84;3.93;0.0
20180223:0710;;5.0;23.84;0.0;4.44;-2.72;3.93;0.0
20180223:0810;;152.01;51.0;0.0;12.78;-1.97;3.66;0.0
20180223:0910;;269.01;72.0;0.0;19.94;-0.91;5.24;0.0
20180223:1010;;360.01;85.0;0.0;25.37;-0.03;5.52;0.0
20180223:1110;;448.01;69.0;0.0;28.53;0.88;5.52;0.0
20180223:1210;;425.01;91.0;0.0;29.03;1.51;5.52;0.0
20180223:1310;;407.01;73.0;0.0;26.79;2.03;5.45;0.0
20180223:1410;;325.01;65.0;0.0;22.12;2.27;5.45;0.0
20180223:1510;;192.01;62.0;0.0;15.52;2.05;5.38;0.0
20180223:1610;;74.0;31.0;0.0;7.55;1.38;4.76;0.0
20180223:1710;;0.0;0.0;0.0;0.0;0.12;4.62;0.0
20180223:1810;;0.0;0.0;0.0;0.0;-0.76;4.55;0.0
20180223:1910;;0.0;0.0;0.0;0.0;-1.09;4.34;0.0
20180223:2010;;0.0;0.0;0.0;0.0;-1.5;4.34;0.0
20180223:2110;;0.0;0.0;0.0;0.0;-1.91;4.28;0.0
20180223:2210;;0.0;0.0;0.0;0.0;-2.33;4.14;0.0
20180223:2310;;0.0;0.0;0.0;0.0;-2.74;4.0;0.0
20180224:0010;;0.0;0.0;0.0;0.0;-3.09;4.0;0.0
20180224:0110;;0.0;0.0;0.0;0.0;-3.36;4.0;0.0
20180224:0210;;0.0;0.0;0.0;0.0;-3.57;4.07;0.0
20180224:0310;;0.0;0.0;0.0;0.0;-3.74;4.07;0.0
20180224:0410;;0.0;0.0;0.0;0.0;-3.82;4.14;0.0
20180224:0510;;0.0;0.0;0.0;0.0;-3.83;4.21;0.0
20180224:0610;;0.0;0.0;0.0;0.0;-3.81;4.28;0.0
20180224:0710;;6.0;26.55;0.0;4.75;-3.71;4.62;0.0
20180224:0810;;157.01;49.0;0.0;13.11;-2.79;4.07;0.0
20180224:0910;;276.01;68.0;0.0;20.28;-1.33;5.17;0.0
20180224:1010;;376.01;75.0;0.0;25.73;0.32;5.72;0.0
20180224:1110;;435.01;77.0;0.0;28.9;1.85;6.0;0.0
20180224:1210;;413.01;97.0;0.0;29.4;3.06;6.21;0.0
20180224:1310;;374.01;94.0;0.0;27.14;3.75;6.21;0.0
20180224:1410;;204.01;136.0;0.0;22.45;3.68;6.28;0.0
20180224:1510;;79.0;119.0;0.0;15.82;3.14;6.07;0.0
20180224:1610;;12.0;54.0;0.0;7.83;2.17;5.93;0.0
20180224:1710;;0.0;0.0;0.0;0.0;0.68;5.79;0.0
20180224:1810;;0.0;0.0;0.0;0.0;-0.42;5.72;0.0
20180224:1910;;0.0;0.0;0.0;0.0;-0.94;5.79;0.0
20180224:2010;;0.0;0.0;0.0;0.0;-1.31;5.66;0.0
20180224:2110;;0.0;0.0;0.0;0.0;-1.64;5.45;0.0
20180224:2210;;0.0;0.0;0.0;0.0;-1.98;5.24;0.0
20180224:2310;;0.0;0.0;0.0;0.0;-2.4;5.03;0.0
20180225:0010;;0.0;0.0;0.0;0.0;-2.79;4.83;0.0
20180225:0110;;0.0;0.0;0.0;0.0;-3.17;4.69;0.0
20180225:0210;;0.0;0.0;0.0;0.0;-3.49;4.55;0.0
20180225:0310;;0.0;0.0;0.0;0.0;-3.78;4.48;0.0
20180225:0410;;0.0;0.0;0.0;0.0;-4.04;4.62;0.0
20180225:0510;;0.0;0.0;0.0;0.0;-4.26;4.69;0.0
20180225:0610;;0.0;0.0;0.0;0.0;-4.46;4.69;0.0
20180225:0710;;9.0;28.74;0.0;5.07;-4.88;4.48;0.0
20180225:0810;;170.01;47.0;0.0;13.44;-4.4;4.9;0.0
20180225:0910;;288.01;67.0;0.0;20.63;-3.45;5.17;0.0
20180225:1010;;383.01;78.0;0.0;26.09;-2.4;5.03;0.0
20180225:1110;;441.01;81.0;0.0;29.27;-1.39;4.83;0.0
20180225:1210;;426.01;97.0;0.0;29.76;-0.54;4.62;0.0
20180225:1310;;409.01;79.0;0.0;27.5;-0.01;4.55;0.0
20180225:1410;;328.01;70.0;0.0;22.78;0.17;4.55;0.0
20180225:1510;;203.01;62.0;0.0;16.13;-0.01;4.62;0.0
20180225:1610;;83.0;33.0;0.0;8.12;-0.69;4.14;0.0
20180225:1710;;0.0;0.0;0.0;0.0;-1.64;3.93;0.0
20180225:1810;;0.0;0.0;0.0;0.0;-2.28;4.14;0.0
20180225:1910;;0.0;0.0;0.0;0.0;-2.85;4.41;0.0
20180225:2010;;0.0;0.0;0.0;0.0;-2.93;4.62;0.0
20180225:2110;;0.0;0.0;0.0;0.0;-3.16;4.69;0.0
20180225:2210;;0.0;0.0;0.0;0.0;-3.49;4.48;0.0
20180225:2310;;0.0;0.0;0.0;0.0;-3.87;4.14;0.0
20180226:0010;;0.0;0.0;0.0;0.0;-4.14;4.0;0.0
20180226:0110;;0.0;0.0;0.0;0.0;-4.36;3.93;0.0
20180226:0210;;0.0;0.0;0.0;0.0;-4.52;3.93;0.0
20180226:0310;;0.0;0.0;0.0;0.0;-4.68;3.79;0.0
20180226:0410;;0.0;0.0;0.0;0.0;-4.85;3.72;0.0
20180226:0510;;0.0;0.0;0.0;0.0;-5.01;3.59;0.0
20180226:0610;;0.0;0.0;0.0;0.0;-5.07;3.79;0.0
20180226:0710;;1.0;26.79;0.0;5.39;-4.93;3.72;0.0
20180226:0810;;24.0;107.0;0.0;13.78;-4.36;4.9;0.0
20180226:0910;;45.0;173.0;0.0;20.98;-3.71;5.45;0.0
20180226:1010;;11.0;191.0;0.0;26.46;-2.65;5.93;0.0
20180226:1110;;3.0;187.0;0.0;29.65;-1.89;5.93;0.0
20180226:1210;;0.0;87.0;0.0;30.13;-1.49;6.0;0.0
20180226:1310;;160.0;217.0;0.0;27.85;-1.49;6.0;0.0
20180226:1410;;237.01;128.0;0.0;23.11;-1.32;6.21;0.0
20180226:1510;;107.0;116.0;0.0;16.43;-1.46;5.59;0.0
20180226:1610;;20.0;60.0;0.0;8.4;-1.74;4.9;0.0
20180226:1710;;0.0;0.0;0.0;0.0;-2.38;4.0;0.0
20180226:1810;;0.0;0.0;0.0;0.0;-3.12;3.79;0.0
20180226:1910;;0.0;0.0;0.0;0.0;-4.13;3.72;0.0
20180226:2010;;0.0;0.0;0.0;0.0;-4.48;3.52;0.0
20180226:2110;;0.0;0.0;0.0;0.0;-4.71;3.45;0.0
20180226:2210;;0.0;0.0;0.0;0.0;-4.89;3.38;0.0
20180226:2310;;0.0;0.0;0.0;0.0;-4.84;3.38;0.0
20180227:0010;;0.0;0.0;0.0;0.0;-4.94;3.45;0.0
20180227:0110;;0.0;0.0;0.0;0.0;-5.05;3.45;0.0
20180227:0210;;0.0;0.0;0.0;0.0;-5.15;3.38;0.0
20180227:0310;;0.0;0.0;0.0;0.0;-5.22;3.38;0.0
20180227:0410;;0.0;0.0;0.0;0.0;-5.28;3.45;0.0
20180227:0510;;0.0;0.0;0.0;0.0;-5.54;3.45;0.0
20180227:0610;;0.0;0.0;0.0;0.0;-5.73;3.38;0.0
20180227:0710;;10.0;34.33;0.0;5.72;-6.65;3.17;0.0
20180227:0810;;167.01;58.0;0.0;14.12;-6.11;4.21;0.0
20180227:0910;;266.01;91.0;0.0;21.34;-5.37;4.9;0.0
20180227:1010;;377.01;93.0;0.0;26.83;-4.32;5.17;0.0
20180227:1110;;425.01;102.0;0.0;30.03;-3.13;5.59;0.0
20180227:1210;;225.01;219.0;0.0;30.51;-2.28;5.66;0.0
20180227:1310;;250.01;182.0;0.0;28.21;-1.59;5.52;0.0
20180227:1410;;144.0;178.0;0.0;23.44;-1.35;5.17;0.0
20180227:1510;;97.0;124.0;0.0;16.74;-1.52;4.41;0.0
20180227:1610;;61.0;51.0;0.0;8.69;-1.82;3.72;0.0
20180227:1710;;0.0;0.0;0.0;0.0;-2.8;2.62;0.0
20180227:1810;;0.0;0.0;0.0;0.0;-3.84;2.34;0.0
20180227:1910;;0.0;0.0;0.0;0.0;-4.36;2.48;0.0
20180227:2010;;0.0;0.0;0.0;0.0;-4.74;2.34;0.0
20180227:2110;;0.0;0.0;0.0;0.0;-5.06;2.28;0.0
20180227:2210;;0.0;0.0;0.0;0.0;-5.28;2.28;0.0
20180227:2310;;0.0;0.0;0.0;0.0;-5.45;2.41;0.0
20180228:0010;;0.0;0.0;0.0;0.0;-5.6;2.48;0.0
20180228:0110;;0.0;0.0;0.0;0.0;-5.78;2.62;0.0
20180228:0210;;0.0;0.0;0.0;0.0;-6.01;2.76;0.0
20180228:0310;;0.0;0.0;0.0;0.0;-6.28;2.97;0.0
20180228:0410;;0.0;0.0;0.0;0.0;-6.55;3.17;0.0
20180228:0510;;0.0;0.0;0.0;0.0;-6.83;3.31;0.0
20180228:0610;;0.0;0.0;0.0;0.0;-7.15;3.45;0.0
20180228:0710;;43.0;31.0;0.0;6.04;-7.62;3.52;0.0
20180228:0810;;168.01;63.0;0.0;14.46;-7.1;4.41;0.0
20180228:0910;;306.01;71.0;0.0;21.69;-6.18;4.69;0.0
20180228:1010;;408.01;78.0;0.0;27.2;-5.05;5.1;0.0
20180228:1110;;458.01;87.0;0.0;30.41;-3.9;5.66;0.0
20180228:1210;;450.01;98.0;0.0;30.88;-3.16;5.59;0.0
20180228:1310;;425.01;85.0;0.0;28.56;-2.71;5.52;0.0
20180228:1410;;344.01;75.0;0.0;23.77;-2.56;5.72;0.0
20180228:1510;;219.01;65.0;0.0;17.05;-2.82;5.79;0.0
20180228:1610;;98.0;35.0;0.0;8.97;-3.4;5.66;0.0
20180228:1710;;0.0;0.0;0.0;0.0;-4.26;5.1;0.0
20180228:1810;;0.0;0.0;0.0;0.0;-5.04;5.24;0.0
20180228:1910;;0.0;0.0;0.0;0.0;-5.55;6.07;0.0
20180228:2010;;0.0;0.0;0.0;0.0;-5.76;5.66;0.0
20180228:2110;;0.0;0.0;0.0;0.0;-5.94;5.79;0.0
20180228:2210;;0.0;0.0;0.0;0.0;-5.88;5.45;0.0
20180228:2310;;0.0;0.0;0.0;0.0;-5.85;5.52;0.0
20180301:0010;;0.0;0.0;0.0;0.0;-5.83;5.59;0.0
20180301:0110;;0.0;0.0;0.0;0.0;-5.84;5.66;0.0
20180301:0210;;0.0;0.0;0.0;0.0;-5.88;5.79;0.0
20180301:0310;;0.0;0.0;0.0;0.0;-5.96;5.93;0.0
20180301:0410;;0.0;0.0;0.0;0.0;-6.34;6.14;0.0
20180301:0510;;0.0;0.0;0.0;0.0;-6.63;6.07;0.0
20180301:0610;;0.0;0.0;0.0;0.0;-6.75;6.14;0.0
20180301:0710;;7.0;39.0;0.0;6.37;-6.19;5.17;0.0
20180301:0810;;12.0;105.0;0.0;14.8;-5.53;6.21;0.0
20180301:0910;;9.0;152.0;0.0;22.05;-4.53;6.62;0.0
20180301:1010;;178.01;199.0;0.0;27.58;-3.17;6.76;0.0
20180301:1110;;314.01;166.0;0.0;30.79;-1.7;6.76;0.0
20180301:1210;;357.01;147.0;0.0;31.26;-0.48;6.69;0.0
20180301:1310;;290.01;159.0;0.0;28.92;0.48;6.76;0.0
20180301:1410;;178.01;163.0;0.0;24.1;0.94;6.69;0.0
20180301:1510;;106.0;121.0;0.0;17.35;1.03;6.55;0.0
20180301:1610;;78.0;46.0;0.0;9.26;0.63;6.07;0.0
20180301:1710;;0.0;0.0;0.0;0.0;-0.41;6.07;0.0
20180301:1810;;0.0;0.0;0.0;0.0;-1.38;5.93;0.0
20180301:1910;;0.0;0.0;0.0;0.0;-1.16;6.0;0.0
20180301:2010;;0.0;0.0;0.0;0.0;-1.38;5.72;0.0
20180301:2110;;0.0;0.0;0.0;0.0;-1.63;5.45;0.0
20180301:2210;;0.0;0.0;0.0;0.0;-1.69;5.45;0.0
20180301:2310;;0.0;0.0;0.0;0.0;-1.74;5.72;0.0
20180302:0010;;0.0;0.0;0.0;0.0;-1.79;6.07;0.0
20180302:0110;;0.0;0.0;0.0;0.0;-2.12;5.93;0.0
20180302:0210;;0.0;0.0;0.0;0.0;-2.5;5.52;0.0
20180302:0310;;0.0;0.0;0.0;0.0;-2.83;5.45;0.0
20180302:0410;;0.0;0.0;0.0;0.0;-3.17;5.52;0.0
20180302:0510;;0.0;0.0;0.0;0.0;-3.37;5.38;0.0
20180302:0610;;0.0;0.0;0.0;0.0;-3.45;5.38;0.0
20180302:0710;;1.0;31.0;0.0;6.71;-3.05;5.31;0.0
20180302:0810;;0.0;76.0;0.0;15.15;-2.76;5.52;0.0
20180302:0910;;2.0;131.0;0.0;22.42;-2.23;5.59;0.0
20180302:1010;;0.0;83.0;0.0;27.95;-1.56;5.45;0.0
20180302:1110;;0.0;137.0;0.0;31.17;-1.19;4.69;0.0
20180302:1210;;1.0;178.0;0.0;31.64;-0.74;4.14;0.0
20180302:1310;;0.0;149.0;0.0;29.28;-0.37;4.28;0.0
20180302:1410;;0.0;77.0;0.0;24.43;-0.1;4.28;0.0
20180302:1510;;0.0;43.0;0.0;17.66;-0.09;3.93;0.0
20180302:1610;;0.0;41.0;0.0;9.54;-0.57;3.45;0.0
20180302:1710;;0.0;0.0;0.0;0.0;-1.02;3.45;0.0
20180302:1810;;0.0;0.0;0.0;0.0;-1.28;3.45;0.0
20180302:1910;;0.0;0.0;0.0;0.0;-1.44;3.24;0.0
20180302:2010;;0.0;0.0;0.0;0.0;-1.58;3.03;0.0
20180302:2110;;0.0;0.0;0.0;0.0;-1.53;2.69;0.0
20180302:2210;;0.0;0.0;0.0;0.0;-1.24;2.41;0.0
20180302:2310;;0.0;0.0;0.0;0.0;-0.91;2.14;0.0
20180303:0010;;0.0;0.0;0.0;0.0;-0.53;2.0;0.0
20180303:0110;;0.0;0.0;0.0;0.0;-0.49;1.93;0.0
20180303:0210;;0.0;0.0;0.0;0.0;-0.44;1.86;0.0
20180303:0310;;0.0;0.0;0.0;0.0;-0.56;1.86;0.0
20180303:0410;;0.0;0.0;0.0;0.0;-1.11;2.07;0.0
20180303:0510;;0.0;0.0;0.0;0.0;-1.73;2.21;0.0
20180303:0610;;0.0;0.0;0.0;0.0;-2.32;2.21;0.0
20180303:0710;;4.0;42.0;0.0;7.04;-2.25;2.07;0.0
20180303:0810;;30.0;120.0;0.0;15.5;-1.2;1.79;0.0
20180303:0910;;72.0;185.0;0.0;22.78;0.62;2.0;0.0
20180303:1010;;12.0;203.0;0.0;28.33;2.46;1.79;0.0
20180303:1110;;11.0;223.0;0.0;31.56;4.27;1.66;0.0
20180303:1210;;129.0;261.0;0.0;32.01;5.63;1.72;0.0
20180303:1310;;321.01;151.0;0.0;29.64;6.57;2.28;0.0
20180303:1410;;268.01;125.0;0.0;24.76;6.85;2.97;0.0
20180303:1510;;183.01;92.0;0.0;17.96;6.44;3.17;0.0
20180303:1610;;90.0;47.0;0.0;9.82;5.23;3.03;0.0
20180303:1710;;0.0;0.0;0.0;0.0;3.17;3.03;0.0
20180303:1810;;0.0;0.0;0.0;0.0;1.55;3.03;0.0
20180303:1910;;0.0;0.0;0.0;0.0;1.01;2.69;0.0
20180303:2010;;0.0;0.0;0.0;0.0;1.22;2.69;0.0
20180303:2110;;0.0;0.0;0.0;0.0;1.43;2.69;0.0
20180303:2210;;0.0;0.0;0.0;0.0;1.53;2.76;0.0
20180303:2310;;0.0;0.0;0.0;0.0;1.46;2.76;0.0
20180304:0010;;0.0;0.0;0.0;0.0;1.56;2.69;0.0
20180304:0110;;0.0;0.0;0.0;0.0;1.7;2.69;0.0
20180304:0210;;0.0;0.0;0.0;0.0;2.17;2.69;0.0
20180304:0310;;0.0;0.0;0.0;0.0;2.3;2.76;0.0
20180304:0410;;0.0;0.0;0.0;0.0;2.3;2.76;0.0
20180304:0510;;0.0;0.0;0.0;0.0;2.25;2.76;0.0
20180304:0610;;0.0;0.0;0.0;0.0;2.2;2.76;0.0
20180304:0710;;46.0;41.0;0.0;7.38;1.96;2.69;0.0
20180304:0810;;171.01;70.0;0.0;15.85;3.42;2.48;0.0
20180304:0910;;309.01;76.0;0.0;23.15;5.76;2.48;0.0
20180304:1010;;397.01;89.0;0.0;28.72;8.23;2.62;0.0
20180304:1110;;438.01;102.0;0.0;31.95;10.41;2.76;0.0
20180304:1210;;186.01;243.0;0.0;32.39;11.83;3.1;0.0
20180304:1310;;20.0;224.0;0.0;30.0;12.4;3.31;0.0
20180304:1410;;6.0;165.0;0.0;25.1;12.41;3.31;0.0
20180304:1510;;1.0;98.0;0.0;18.27;11.57;3.45;0.0
20180304:1610;;0.0;39.0;0.0;10.11;10.3;3.66;0.0
20180304:1710;;0.0;0.0;0.0;0.0;9.18;3.72;0.0
20180304:1810;;0.0;0.0;0.0;0.0;8.16;3.93;0.0
20180304:1910;;0.0;0.0;0.0;0.0;7.46;5.31;0.0
20180304:2010;;0.0;0.0;0.0;0.0;7.41;5.38;0.0
20180304:2110;;0.0;0.0;0.0;0.0;6.88;5.79;0.0
20180304:2210;;0.0;0.0;0.0;0.0;6.27;5.45;0.0
20180304:2310;;0.0;0.0;0.0;0.0;5.89;4.9;0.0
20180305:0010;;0.0;0.0;0.0;0.0;5.67;4.48;0.0
20180305:0110;;0.0;0.0;0.0;0.0;5.52;4.21;0.0
20180305:0210;;0.0;0.0;0.0;0.0;5.05;4.07;0.0
20180305:0310;;0.0;0.0;0.0;0.0;4.64;3.86;0.0
20180305:0410;;0.0;0.0;0.0;0.0;4.33;3.72;0.0
20180305:0510;;0.0;0.0;0.0;0.0;4.2;3.52;0.0
20180305:0610;;0.0;0.0;0.0;0.0;4.13;3.1;0.0
20180305:0710;;60.0;38.0;0.0;7.73;2.98;3.24;0.0
20180305:0810;;96.0;112.0;0.0;16.2;4.3;3.03;0.0
20180305:0910;;236.01;124.0;0.0;23.52;6.31;3.1;0.0
20180305:1010;;36.0;230.0;0.0;29.1;8.32;3.31;0.0
20180305:1110;;155.0;253.0;0.0;32.33;9.86;3.1;0.0
20180305:1210;;171.0;252.0;0.0;32.78;11.31;3.59;0.0
20180305:1310;;228.01;204.0;0.0;30.36;11.92;3.45;0.0
20180305:1410;;44.0;204.0;0.0;25.43;12.06;2.97;0.0
20180305:1510;;45.0;147.0;0.0;18.57;11.77;2.14;0.0
20180305:1610;;29.0;74.0;0.0;10.39;11.25;1.93;0.0
20180305:1710;;0.0;0.0;0.0;0.0;9.24;2.55;0.0
20180305:1810;;0.0;0.0;0.0;0.0;7.05;2.76;0.0
20180305:1910;;0.0;0.0;0.0;0.0;5.92;2.69;0.0
20180305:2010;;0.0;0.0;0.0;0.0;5.17;2.83;0.0
20180305:2110;;0.0;0.0;0.0;0.0;4.73;3.03;0.0
20180305:2210;;0.0;0.0;0.0;0.0;4.68;3.17;0.0
20180305:2310;;0.0;0.0;0.0;0.0;4.59;3.17;0.0
20180306:0010;;0.0;0.0;0.0;0.0;4.73;3.17;0.0
20180306:0110;;0.0;0.0;0.0;0.0;4.54;3.17;0.0
20180306:0210;;0.0;0.0;0.0;0.0;4.48;3.03;0.0
20180306:0310;;0.0;0.0;0.0;0.0;4.11;2.9;0.0
20180306:0410;;0.0;0.0;0.0;0.0;3.6;2.83;0.0
20180306:0510;;0.0;0.0;0.0;0.0;3.12;2.62;0.0
20180306:0610;;0.0;0.0;0.0;0.0;2.53;2.48;0.0
20180306:0710;;19.0;54.0;0.0;8.07;3.35;2.34;0.0
20180306:0810;;140.0;94.0;0.0;16.56;5.04;1.79;0.0
20180306:0910;;156.0;166.0;0.0;23.89;7.39;1.93;0.0
20180306:1010;;266.01;172.0;0.0;29.49;9.25;2.34;0.0
20180306:1110;;1.0;184.0;0.0;32.73;10.35;2.76;0.0
20180306:1210;;153.0;259.0;0.0;33.16;10.83;2.62;0.0
20180306:1310;;10.0;212.0;0.0;30.72;11.36;2.69;0.0
20180306:1410;;27.0;198.0;0.0;25.76;11.26;2.83;0.0
20180306:1510;;20.0;141.0;0.0;18.88;10.94;2.69;0.0
20180306:1610;;3.0;64.0;0.0;10.68;10.07;2.28;0.0
20180306:1710;;0.0;0.0;0.0;0.0;8.76;1.93;0.0
20180306:1810;;0.0;0.0;0.0;0.0;7.1;1.93;0.0
20180306:1910;;0.0;0.0;0.0;0.0;6.36;1.79;0.0
20180306:2010;;0.0;0.0;0.0;0.0;4.89;1.86;0.0
20180306:2110;;0.0;0.0;0.0;0.0;3.67;2.0;0.0
20180306:2210;;0.0;0.0;0.0;0.0;2.76;2.07;0.0
20180306:2310;;0.0;0.0;0.0;0.0;2.13;2.14;0.0
20180307:0010;;0.0;0.0;0.0;0.0;1.94;2.14;0.0
20180307:0110;;0.0;0.0;0.0;0.0;1.61;2.21;0.0
20180307:0210;;0.0;0.0;0.0;0.0;1.41;2.21;0.0
20180307:0310;;0.0;0.0;0.0;0.0;1.52;2.21;0.0
20180307:0410;;0.0;0.0;0.0;0.0;1.72;2.28;0.0
20180307:0510;;0.0;0.0;0.0;0.0;1.76;2.41;0.0
20180307:0610;;0.0;0.0;0.0;0.0;1.89;2.62;0.0
20180307:0710;;0.0;19.0;0.0;8.42;2.78;2.41;0.0
20180307:0810;;0.0;22.0;0.0;16.92;4.38;2.28;0.0
20180307:0910;;0.0;94.0;0.0;24.27;5.8;2.83;0.0
20180307:1010;;0.0;153.0;0.0;29.87;7.04;4.34;0.0
20180307:1110;;33.0;258.0;0.0;33.12;8.07;4.48;0.0
20180307:1210;;0.0;64.0;0.0;33.54;8.52;4.48;0.0
20180307:1310;;0.0;126.0;0.0;31.08;8.64;4.0;0.0
